timestamp,frame_number,zone,crowd_count,congestion_level,is_congested
0:00:00,0,Main_Entrance_Zone,1,LOW,0
0:00:00,0,Corridor_Zone,4,LOW,0
0:00:00,1,Main_Entrance_Zone,1,LOW,0
0:00:00,1,Corridor_Zone,4,LOW,0
0:00:00,2,Main_Entrance_Zone,1,LOW,0
0:00:00,2,Corridor_Zone,5,MODERATE,0
0:00:00,3,Main_Entrance_Zone,1,LOW,0
0:00:00,3,Corridor_Zone,4,LOW,0
0:00:00,4,Main_Entrance_Zone,1,LOW,0
0:00:00,4,Corridor_Zone,4,LOW,0
0:00:00,5,Main_Entrance_Zone,1,LOW,0
0:00:00,5,Corridor_Zone,4,LOW,0
0:00:00,6,Main_Entrance_Zone,1,LOW,0
0:00:00,6,Corridor_Zone,5,MODERATE,0
0:00:00,7,Main_Entrance_Zone,1,LOW,0
0:00:00,7,Corridor_Zone,4,LOW,0
0:00:00,8,Main_Entrance_Zone,1,LOW,0
0:00:00,8,Corridor_Zone,3,LOW,0
0:00:00,9,Main_Entrance_Zone,1,LOW,0
0:00:00,9,Corridor_Zone,3,LOW,0
0:00:00,10,Main_Entrance_Zone,1,LOW,0
0:00:00,10,Corridor_Zone,3,LOW,0
0:00:00,11,Main_Entrance_Zone,1,LOW,0
0:00:00,11,Corridor_Zone,3,LOW,0
0:00:00,12,Main_Entrance_Zone,1,LOW,0
0:00:00,12,Corridor_Zone,3,LOW,0
0:00:00,13,Main_Entrance_Zone,1,LOW,0
0:00:00,13,Corridor_Zone,3,LOW,0
0:00:00,14,Main_Entrance_Zone,0,LOW,0
0:00:00,14,Corridor_Zone,3,LOW,0
0:00:00,15,Main_Entrance_Zone,1,LOW,0
0:00:00,15,Corridor_Zone,3,LOW,0
0:00:00,16,Main_Entrance_Zone,1,LOW,0
0:00:00,16,Corridor_Zone,3,LOW,0
0:00:00,17,Main_Entrance_Zone,0,LOW,0
0:00:00,17,Corridor_Zone,3,LOW,0
0:00:00,18,Main_Entrance_Zone,0,LOW,0
0:00:00,18,Corridor_Zone,3,LOW,0
0:00:00,19,Main_Entrance_Zone,1,LOW,0
0:00:00,19,Corridor_Zone,3,LOW,0
0:00:00,20,Main_Entrance_Zone,0,LOW,0
0:00:00,20,Corridor_Zone,3,LOW,0
0:00:00,21,Main_Entrance_Zone,0,LOW,0
0:00:00,21,Corridor_Zone,3,LOW,0
0:00:00,22,Main_Entrance_Zone,0,LOW,0
0:00:00,22,Corridor_Zone,3,LOW,0
0:00:00,23,Main_Entrance_Zone,0,LOW,0
0:00:00,23,Corridor_Zone,3,LOW,0
0:00:00,24,Main_Entrance_Zone,0,LOW,0
0:00:00,24,Corridor_Zone,3,LOW,0
0:00:00,25,Main_Entrance_Zone,0,LOW,0
0:00:00,25,Corridor_Zone,3,LOW,0
0:00:00,26,Main_Entrance_Zone,0,LOW,0
0:00:00,26,Corridor_Zone,3,LOW,0
0:00:00,27,Main_Entrance_Zone,0,LOW,0
0:00:00,27,Corridor_Zone,3,LOW,0
0:00:00,28,Main_Entrance_Zone,0,LOW,0
0:00:00,28,Corridor_Zone,2,LOW,0
0:00:00,29,Main_Entrance_Zone,0,LOW,0
0:00:00,29,Corridor_Zone,2,LOW,0
0:00:00,30,Main_Entrance_Zone,0,LOW,0
0:00:00,30,Corridor_Zone,2,LOW,0
0:00:01,31,Main_Entrance_Zone,0,LOW,0
0:00:01,31,Corridor_Zone,2,LOW,0
0:00:01,32,Main_Entrance_Zone,0,LOW,0
0:00:01,32,Corridor_Zone,2,LOW,0
0:00:01,33,Main_Entrance_Zone,0,LOW,0
0:00:01,33,Corridor_Zone,2,LOW,0
0:00:01,34,Main_Entrance_Zone,0,LOW,0
0:00:01,34,Corridor_Zone,2,LOW,0
0:00:01,35,Main_Entrance_Zone,0,LOW,0
0:00:01,35,Corridor_Zone,3,LOW,0
0:00:01,36,Main_Entrance_Zone,0,LOW,0
0:00:01,36,Corridor_Zone,3,LOW,0
0:00:01,37,Main_Entrance_Zone,0,LOW,0
0:00:01,37,Corridor_Zone,3,LOW,0
0:00:01,38,Main_Entrance_Zone,0,LOW,0
0:00:01,38,Corridor_Zone,3,LOW,0
0:00:01,39,Main_Entrance_Zone,0,LOW,0
0:00:01,39,Corridor_Zone,3,LOW,0
0:00:01,40,Main_Entrance_Zone,0,LOW,0
0:00:01,40,Corridor_Zone,3,LOW,0
0:00:01,41,Main_Entrance_Zone,0,LOW,0
0:00:01,41,Corridor_Zone,3,LOW,0
0:00:01,42,Main_Entrance_Zone,0,LOW,0
0:00:01,42,Corridor_Zone,3,LOW,0
0:00:01,43,Main_Entrance_Zone,0,LOW,0
0:00:01,43,Corridor_Zone,3,LOW,0
0:00:01,44,Main_Entrance_Zone,0,LOW,0
0:00:01,44,Corridor_Zone,3,LOW,0
0:00:01,45,Main_Entrance_Zone,0,LOW,0
0:00:01,45,Corridor_Zone,3,LOW,0
0:00:01,46,Main_Entrance_Zone,0,LOW,0
0:00:01,46,Corridor_Zone,3,LOW,0
0:00:01,47,Main_Entrance_Zone,0,LOW,0
0:00:01,47,Corridor_Zone,3,LOW,0
0:00:01,48,Main_Entrance_Zone,0,LOW,0
0:00:01,48,Corridor_Zone,3,LOW,0
0:00:01,49,Main_Entrance_Zone,0,LOW,0
0:00:01,49,Corridor_Zone,3,LOW,0
0:00:01,50,Main_Entrance_Zone,0,LOW,0
0:00:01,50,Corridor_Zone,3,LOW,0
0:00:01,51,Main_Entrance_Zone,0,LOW,0
0:00:01,51,Corridor_Zone,3,LOW,0
0:00:01,52,Main_Entrance_Zone,0,LOW,0
0:00:01,52,Corridor_Zone,3,LOW,0
0:00:01,53,Main_Entrance_Zone,0,LOW,0
0:00:01,53,Corridor_Zone,3,LOW,0
0:00:01,54,Main_Entrance_Zone,0,LOW,0
0:00:01,54,Corridor_Zone,3,LOW,0
0:00:01,55,Main_Entrance_Zone,0,LOW,0
